team,opponent,matches,wins,losses,avg_runs,avg_opponent_runs,avg_run_margin,win_rate,matchup_key
Gujarat Titans,Royal Challengers Bengaluru,5,2,3,177.4,179.0,-1.6,40.0,Gujarat Titans vs Royal Challengers Bengaluru
Kochi Tuskers Kerala,Kolkata Knight Riders,2,2,0,144.0,132.5,11.5,100.0,Kochi Tuskers Kerala vs Kolkata Knight Riders
Kochi Tuskers Kerala,Chennai Super Kings,2,1,1,138.0,141.5,-3.5,50.0,Kochi Tuskers Kerala vs Chennai Super Kings
Kochi Tuskers Kerala,Delhi Capitals,2,1,1,130.0,148.5,-18.5,50.0,Kochi Tuskers Kerala vs Delhi Capitals
Kochi Tuskers Kerala,Mumbai Indians,1,1,0,184.0,182.0,2.0,100.0,Kochi Tuskers Kerala vs Mumbai Indians
Kochi Tuskers Kerala,Rajasthan Royals,2,1,1,103.5,104.0,-0.5,50.0,Kochi Tuskers Kerala vs Rajasthan Royals
Kochi Tuskers Kerala,Deccan Chargers,1,0,1,74.0,129.0,-55.0,0.0,Kochi Tuskers Kerala vs Deccan Chargers
Kochi Tuskers Kerala,Pune Warriors,1,0,1,148.0,151.0,-3.0,0.0,Kochi Tuskers Kerala vs Pune Warriors
Kochi Tuskers Kerala,Punjab Kings,1,0,1,178.0,181.0,-3.0,0.0,Kochi Tuskers Kerala vs Punjab Kings
Kochi Tuskers Kerala,Royal Challengers Bengaluru,2,0,2,143.0,145.0,-2.0,0.0,Kochi Tuskers Kerala vs Royal Challengers Bengaluru
Kolkata Knight Riders,Punjab Kings,33,21,12,163.88,162.58,1.3,63.64,Kolkata Knight Riders vs Punjab Kings
Kolkata Knight Riders,Royal Challengers Bengaluru,34,20,14,159.88,151.32,8.56,58.82,Kolkata Knight Riders vs Royal Challengers Bengaluru
Kolkata Knight Riders,Sunrisers Hyderabad,28,19,9,155.86,157.57,-1.71,67.86,Kolkata Knight Riders vs Sunrisers Hyderabad
Kolkata Knight Riders,Delhi Capitals,33,18,15,157.91,153.88,4.03,54.55,Kolkata Knight Riders vs Delhi Capitals
Kolkata Knight Riders,Rajasthan Royals,28,14,14,153.64,150.79,2.86,50.0,Kolkata Knight Riders vs Rajasthan Royals
Kolkata Knight Riders,Mumbai Indians,34,11,23,151.0,156.71,-5.71,32.35,Kolkata Knight Riders vs Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,29,10,19,153.17,158.9,-5.72,34.48,Kolkata Knight Riders vs Chennai Super Kings
Kolkata Knight Riders,Deccan Chargers,9,7,2,153.11,144.11,9.0,77.78,Kolkata Knight Riders vs Deccan Chargers
Kolkata Knight Riders,Pune Warriors,5,4,1,144.0,127.8,16.2,80.0,Kolkata Knight Riders vs Pune Warriors
Kolkata Knight Riders,Rising Pune Supergiants,4,3,1,141.75,150.75,-9.0,75.0,Kolkata Knight Riders vs Rising Pune Supergiants
Kolkata Knight Riders,Lucknow Super Giants,5,2,3,176.2,172.0,4.2,40.0,Kolkata Knight Riders vs Lucknow Super Giants
Kolkata Knight Riders,Gujarat Lions,4,1,3,163.25,165.0,-1.75,25.0,Kolkata Knight Riders vs Gujarat Lions
Kolkata Knight Riders,Gujarat Titans,3,1,2,178.0,180.0,-2.0,33.33,Kolkata Knight Riders vs Gujarat Titans
Kolkata Knight Riders,Kochi Tuskers Kerala,2,0,2,132.5,144.0,-11.5,0.0,Kolkata Knight Riders vs Kochi Tuskers Kerala
Lucknow Super Giants,Mumbai Indians,6,5,1,167.33,167.83,-0.5,83.33,Lucknow Super Giants vs Mumbai Indians
Lucknow Super Giants,Chennai Super Kings,5,3,1,186.8,203.25,-1.0,60.0,Lucknow Super Giants vs Chennai Super Kings
Lucknow Super Giants,Delhi Capitals,5,3,2,179.8,171.8,8.0,60.0,Lucknow Super Giants vs Delhi Capitals
Lucknow Super Giants,Kolkata Knight Riders,5,3,2,172.0,176.2,-4.2,60.0,Lucknow Super Giants vs Kolkata Knight Riders
Lucknow Super Giants,Punjab Kings,4,3,1,192.0,168.25,23.75,75.0,Lucknow Super Giants vs Punjab Kings
Lucknow Super Giants,Sunrisers Hyderabad,4,3,1,161.5,156.75,4.75,75.0,Lucknow Super Giants vs Sunrisers Hyderabad
Lucknow Super Giants,Royal Challengers Bengaluru,5,2,3,171.6,175.8,-4.2,40.0,Lucknow Super Giants vs Royal Challengers Bengaluru
Lucknow Super Giants,Gujarat Titans,5,1,4,140.4,159.4,-19.0,20.0,Lucknow Super Giants vs Gujarat Titans
Lucknow Super Giants,Rajasthan Royals,5,1,4,167.8,175.8,-8.0,20.0,Lucknow Super Giants vs Rajasthan Royals
Mumbai Indians,Kolkata Knight Riders,34,23,11,156.71,151.0,5.71,67.65,Mumbai Indians vs Kolkata Knight Riders
Mumbai Indians,Chennai Super Kings,37,20,17,157.76,155.57,2.19,54.05,Mumbai Indians vs Chennai Super Kings
Mumbai Indians,Delhi Capitals,35,19,16,166.83,153.26,13.57,54.29,Mumbai Indians vs Delhi Capitals
Mumbai Indians,Royal Challengers Bengaluru,33,19,14,166.48,162.94,3.55,57.58,Mumbai Indians vs Royal Challengers Bengaluru
Mumbai Indians,Punjab Kings,32,17,15,165.88,169.03,-3.16,53.12,Mumbai Indians vs Punjab Kings
Mumbai Indians,Rajasthan Royals,29,15,14,162.14,159.9,2.24,51.72,Mumbai Indians vs Rajasthan Royals
Mumbai Indians,Sunrisers Hyderabad,23,13,10,161.26,161.3,-0.04,56.52,Mumbai Indians vs Sunrisers Hyderabad
Mumbai Indians,Deccan Chargers,10,6,4,150.4,137.5,12.9,60.0,Mumbai Indians vs Deccan Chargers
Mumbai Indians,Pune Warriors,6,5,1,134.0,126.5,7.5,83.33,Mumbai Indians vs Pune Warriors
Mumbai Indians,Gujarat Lions,4,2,2,161.25,162.25,-1.0,50.0,Mumbai Indians vs Gujarat Lions
Mumbai Indians,Gujarat Titans,5,2,3,176.0,194.2,-18.2,40.0,Mumbai Indians vs Gujarat Titans
Mumbai Indians,Rising Pune Supergiants,6,2,4,149.0,153.67,-4.67,33.33,Mumbai Indians vs Rising Pune Supergiants
Mumbai Indians,Lucknow Super Giants,6,1,5,167.83,167.33,0.5,16.67,Mumbai Indians vs Lucknow Super Giants
Mumbai Indians,Kochi Tuskers Kerala,1,0,1,182.0,184.0,-2.0,0.0,Mumbai Indians vs Kochi Tuskers Kerala
Pune Warriors,Punjab Kings,6,3,3,133.0,129.5,3.5,50.0,Pune Warriors vs Punjab Kings
Pune Warriors,Chennai Super Kings,6,2,4,141.83,150.83,-9.0,33.33,Pune Warriors vs Chennai Super Kings
Pune Warriors,Delhi Capitals,6,2,3,169.2,144.0,7.6,33.33,Pune Warriors vs Delhi Capitals
Pune Warriors,Deccan Chargers,4,1,3,151.25,159.25,-8.0,25.0,Pune Warriors vs Deccan Chargers
Pune Warriors,Kochi Tuskers Kerala,1,1,0,151.0,148.0,3.0,100.0,Pune Warriors vs Kochi Tuskers Kerala
Pune Warriors,Kolkata Knight Riders,5,1,4,127.8,144.0,-16.2,20.0,Pune Warriors vs Kolkata Knight Riders
Pune Warriors,Mumbai Indians,6,1,5,126.5,134.0,-7.5,16.67,Pune Warriors vs Mumbai Indians
Pune Warriors,Rajasthan Royals,5,1,4,143.8,153.4,-9.6,20.0,Pune Warriors vs Rajasthan Royals
Pune Warriors,Royal Challengers Bengaluru,5,0,5,155.6,198.0,-42.4,0.0,Pune Warriors vs Royal Challengers Bengaluru
Pune Warriors,Sunrisers Hyderabad,2,0,2,106.0,122.5,-16.5,0.0,Pune Warriors vs Sunrisers Hyderabad
Punjab Kings,Delhi Capitals,33,17,16,147.42,147.55,-0.12,51.52,Punjab Kings vs Delhi Capitals
Punjab Kings,Royal Challengers Bengaluru,33,17,16,162.39,163.82,-1.42,51.52,Punjab Kings vs Royal Challengers Bengaluru
Punjab Kings,Mumbai Indians,32,15,17,169.03,165.88,3.16,46.88,Punjab Kings vs Mumbai Indians
Punjab Kings,Chennai Super Kings,30,14,16,161.73,165.33,-3.6,46.67,Punjab Kings vs Chennai Super Kings
Punjab Kings,Kolkata Knight Riders,33,12,21,162.58,163.88,-1.3,36.36,Punjab Kings vs Kolkata Knight Riders
Punjab Kings,Rajasthan Royals,28,12,16,170.07,172.75,-2.68,42.86,Punjab Kings vs Rajasthan Royals
Punjab Kings,Deccan Chargers,10,7,3,163.2,168.6,-5.4,70.0,Punjab Kings vs Deccan Chargers
Punjab Kings,Sunrisers Hyderabad,23,7,16,156.3,161.26,-4.96,30.43,Punjab Kings vs Sunrisers Hyderabad
