team,opponent,matchup_key
Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants vs Mumbai Indians
Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants vs Chennai Super Kings
Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals
Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants vs Kolkata Knight Riders
Lucknow Super Giants,Punjab Kings,Lucknow Super Giants vs Punjab Kings
Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants vs Sunrisers Hyderabad
Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants vs Royal Challengers Bengaluru
Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants vs Gujarat Titans
Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants vs Rajasthan Royals
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians vs Kolkata Knight Riders
Mumbai Indians,Chennai Super Kings,Mumbai Indians vs Chennai Super Kings
Mumbai Indians,Delhi Capitals,Mumbai Indians vs Delhi Capitals
Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians vs Royal Challengers Bengaluru
Mumbai Indians,Punjab Kings,Mumbai Indians vs Punjab Kings
Mumbai Indians,Rajasthan Royals,Mumbai Indians vs Rajasthan Royals
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians vs Sunrisers Hyderabad
Mumbai Indians,Deccan Chargers,Mumbai Indians vs Deccan Chargers
Mumbai Indians,Pune Warriors,Mumbai Indians vs Pune Warriors
Mumbai Indians,Gujarat Lions,Mumbai Indians vs Gujarat Lions
Mumbai Indians,Gujarat Titans,Mumbai Indians vs Gujarat Titans
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians vs Rising Pune Supergiants
Mumbai Indians,Lucknow Super Giants,Mumbai Indians vs Lucknow Super Giants
Mumbai Indians,Kochi Tuskers Kerala,Mumbai Indians vs Kochi Tuskers Kerala
Pune Warriors,Punjab Kings,Pune Warriors vs Punjab Kings
Pune Warriors,Chennai Super Kings,Pune Warriors vs Chennai Super Kings
Pune Warriors,Delhi Capitals,Pune Warriors vs Delhi Capitals
Pune Warriors,Deccan Chargers,Pune Warriors vs Deccan Chargers
Pune Warriors,Kochi Tuskers Kerala,Pune Warriors vs Kochi Tuskers Kerala
Pune Warriors,Kolkata Knight Riders,Pune Warriors vs Kolkata Knight Riders
Pune Warriors,Mumbai Indians,Pune Warriors vs Mumbai Indians
Pune Warriors,Rajasthan Royals,Pune Warriors vs Rajasthan Royals
Pune Warriors,Royal Challengers Bengaluru,Pune Warriors vs Royal Challengers Bengaluru
Pune Warriors,Sunrisers Hyderabad,Pune Warriors vs Sunrisers Hyderabad
Punjab Kings,Delhi Capitals,Punjab Kings vs Delhi Capitals
Punjab Kings,Royal Challengers Bengaluru,Punjab Kings vs Royal Challengers Bengaluru
Punjab Kings,Mumbai Indians,Punjab Kings vs Mumbai Indians
Punjab Kings,Chennai Super Kings,Punjab Kings vs Chennai Super Kings
Punjab Kings,Kolkata Knight Riders,Punjab Kings vs Kolkata Knight Riders
Punjab Kings,Rajasthan Royals,Punjab Kings vs Rajasthan Royals
Punjab Kings,Deccan Chargers,Punjab Kings vs Deccan Chargers
Punjab Kings,Sunrisers Hyderabad,Punjab Kings vs Sunrisers Hyderabad
Punjab Kings,Pune Warriors,Punjab Kings vs Pune Warriors
Punjab Kings,Gujarat Lions,Punjab Kings vs Gujarat Lions
Punjab Kings,Gujarat Titans,Punjab Kings vs Gujarat Titans
Punjab Kings,Rising Pune Supergiants,Punjab Kings vs Rising Pune Supergiants
Punjab Kings,Kochi Tuskers Kerala,Punjab Kings vs Kochi Tuskers Kerala
Punjab Kings,Lucknow Super Giants,Punjab Kings vs Lucknow Super Giants
Rajasthan Royals,Punjab Kings,Rajasthan Royals vs Punjab Kings
Rajasthan Royals,Delhi Capitals,Rajasthan Royals vs Delhi Capitals
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals vs Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,Rajasthan Royals vs Mumbai Indians
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals vs Royal Challengers Bengaluru
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals vs Chennai Super Kings
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad
Rajasthan Royals,Deccan Chargers,Rajasthan Royals vs Deccan Chargers
Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals vs Lucknow Super Giants
Rajasthan Royals,Pune Warriors,Rajasthan Royals vs Pune Warriors
Rajasthan Royals,Gujarat Titans,Rajasthan Royals vs Gujarat Titans
Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals vs Kochi Tuskers Kerala
Rising Pune Supergiants,Mumbai Indians,Rising Pune Supergiants vs Mumbai Indians
Rising Pune Supergiants,Sunrisers Hyderabad,Rising Pune Supergiants vs Sunrisers Hyderabad
Rising Pune Supergiants,Delhi Capitals,Rising Pune Supergiants vs Delhi Capitals
Rising Pune Supergiants,Punjab Kings,Rising Pune Supergiants vs Punjab Kings
Rising Pune Supergiants,Royal Challengers Bengaluru,Rising Pune Supergiants vs Royal Challengers Bengaluru
Rising Pune Supergiants,Gujarat Lions,Rising Pune Supergiants vs Gujarat Lions
Rising Pune Supergiants,Kolkata Knight Riders,Rising Pune Supergiants vs Kolkata Knight Riders
Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru vs Delhi Capitals
Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru vs Punjab Kings
Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru vs Rajasthan Royals
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru vs Kolkata Knight Riders
Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru vs Mumbai Indians
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru vs Chennai Super Kings
Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru vs Sunrisers Hyderabad
Royal Challengers Bengaluru,Deccan Chargers,Royal Challengers Bengaluru vs Deccan Chargers
Royal Challengers Bengaluru,Pune Warriors,Royal Challengers Bengaluru vs Pune Warriors
Royal Challengers Bengaluru,Gujarat Lions,Royal Challengers Bengaluru vs Gujarat Lions
